Project: Harmful Algal Blooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibrated: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested start: 2008-08-15 18:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Requested end: 2016-11-28 17:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Request time: Mon, 28 Nov 2016 17:16:26 +0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Notes: All times provided in UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,month,day,time,latitude,longitude,depth (m),location,Akashiwo sanguinea (cells/L),Alexandrium spp. (cells/L),Ammonia (uM),Chlorophyll (mg/m3),Chlorophyll 1 (mg/m3),Chlorophyll 2 (mg/m3),DA Volume Filtered (mL),Dinophysis spp. (cells/L),Domoic Acid (ng/mL),Lingulodinium polyedrum (cells/L),Nitrate (uM),Nitrite (uM),Other Diatoms (cells/L),Other Dinoflagellates (cells/L),Phaeophytin (mg/m3),Phaeophytin 1 (mg/m3),Phaeophytin 2 (mg/m3),Phosphate (uM),Prorocentrum spp. (cells/L),Pseudo-nitzschia delicatissima group (cells/L),Pseudo-nitzschia seriata group (cells/L),Silicate (uM),Volume Settled for counting (mL),Water Temperature (°C)
2008,8,15,18:15:00,35.17,-120.741,0,Cal Poly Pier,3199,9596,NaN,4.19,4.2,4.18,250,0,NaN,0,NaN,NaN,30922,29856,1.41,1.22,1.6,NaN,30922,0,3199,NaN,25,14.9
2008,8,19,16:00:00,35.17,-120.741,0,Cal Poly Pier,2133,0,NaN,7.74,8.15,7.33,250,0,NaN,1066,NaN,NaN,0,0,1.81,2.08,1.54,NaN,21326,24524,41585,NaN,25,15.5
2008,8,26,21:50:00,35.17,-120.741,0,Cal Poly Pier,0,2133,NaN,7.39,7.51,7.26,250,0,NaN,0,NaN,NaN,187665,106628,0.94,0.94,0.95,NaN,8530,38386,8530,NaN,25,17.8
2008,9,2,16:00:00,35.17,-120.741,0,Cal Poly Pier,12795,0,NaN,12.38,14.13,10.62,175,6398,NaN,4265,NaN,NaN,181267,194062,2.13,2.46,1.8,NaN,379594,0,0,NaN,25,16
2008,9,8,16:20:00,35.17,-120.741,0,Cal Poly Pier,4265,10663,NaN,24.21,23.96,24.46,175,14928,NaN,2133,NaN,NaN,12795,264437,2.1,1.99,2.21,NaN,292160,17060,4265,NaN,25,16.3
2008,9,16,18:44:00,35.17,-120.741,0,Cal Poly Pier,17060,12795,35.6,NaN,NaN,NaN,95,14928,NaN,0,0.02,0.17,17060,1720970,NaN,NaN,NaN,2.95,27723,0,0,116,25,15.5
2008,9,22,16:15:00,35.17,-120.741,0,Cal Poly Pier,4265,0,0.2,28.83,31.5,26.16,150,2133,NaN,0,6.04,0.74,76772,452101,-0.27,-0.21,-0.33,1.34,8530,21326,6398,90.37,25,14.1
2008,9,29,18:57:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.62,25,28.91,21.09,150,0,NaN,0,0.79,0.32,2133,155676,2.32,1.28,3.35,0.26,21326,0,0,74.67,25,15.3
2008,10,2,15:15:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,0,130086,NaN,NaN,NaN,NaN,10663,0,0,NaN,25,16
2008,10,6,15:43:00,35.17,-120.741,0,Cal Poly Pier,2133,0,1.19,10.01,9.87,10.15,150,4265,NaN,0,2,0.23,6398,72507,0.17,0.04,0.3,0.53,49049,0,0,70.73,25,14.3
2008,10,9,15:44:00,35.17,-120.741,0,Cal Poly Pier,2133,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,63977,NaN,NaN,NaN,NaN,2133,0,0,NaN,25,14.2
2008,10,13,16:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,6.84,1.4,1.39,1.4,250,0,NaN,0,12.65,0.51,8530,8530,0.42,0.47,0.36,1.79,4265,0,0,97.7,25,12.3
2008,10,16,16:00:00,35.17,-120.741,0,Cal Poly Pier,0,2133,NaN,NaN,NaN,NaN,NaN,8530,NaN,0,NaN,NaN,0,652561,NaN,NaN,NaN,NaN,21326,0,0,NaN,25,13.6
2008,10,20,15:20:00,35.17,-120.741,0,Cal Poly Pier,12795,0,1.96,67.21,68.87,65.55,NaN,2133,NaN,0,5.13,0.79,8530,746394,10.19,10.88,9.49,1.24,49049,0,0,71.13,25,13.6
2008,10,23,15:30:00,35.17,-120.741,0,Cal Poly Pier,0,8530,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,2133,78904,NaN,NaN,NaN,NaN,4265,0,0,NaN,25,13.6
2008,10,27,15:05:00,35.17,-120.741,0,Cal Poly Pier,0,6398,2.01,16.59,17.24,15.95,150,4265,NaN,0,4.76,0.33,0,87435,1.83,1.94,1.72,0.83,8530,0,0,65.87,25,13.9
2008,10,30,14:50:00,35.17,-120.741,0,Cal Poly Pier,4265,0,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,2133,81037,NaN,NaN,NaN,NaN,14928,0,0,NaN,25,14.3
2008,11,3,16:40:00,35.17,-120.741,0,Cal Poly Pier,4265,0,2,16.73,17.28,16.18,200,6398,0.05,0,3.55,0.36,2133,72507,2.21,2.27,2.15,0.63,19193,0,0,78.09,25,14.3
2008,11,6,16:50:00,35.17,-120.741,0,Cal Poly Pier,2133,2133,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,42651,NaN,NaN,NaN,NaN,17060,0,0,NaN,25,14.9
2008,11,10,16:38:00,35.17,-120.741,0,Cal Poly Pier,0,2133,3.36,2.04,2.1,1.99,250,0,NaN,0,5.67,0.5,2133,14928,0.87,0.85,0.89,1.03,0,0,0,58.25,25,13.7
2008,11,13,16:20:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,4265,NaN,NaN,NaN,NaN,0,0,0,NaN,25,12.5
2008,11,17,17:28:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.04,2.69,2.76,2.63,250,0,NaN,0,21.4,0.56,2133,4265,0.85,0.86,0.85,2.34,0,0,0,74.63,25,12.9
2008,11,20,20:07:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,2133,NaN,0,NaN,NaN,0,31988,NaN,NaN,NaN,NaN,4265,0,0,NaN,25,13.5
2008,11,24,16:28:00,35.17,-120.741,0,Cal Poly Pier,0,2133,2.4,2.81,2.96,2.65,250,4265,NaN,0,7.59,0.43,0,23458,0.77,0.88,0.65,1.09,10663,0,0,82.46,25,13.4
2008,12,1,16:53:00,35.17,-120.741,0,Cal Poly Pier,0,8530,1.13,10.86,11.14,10.57,200,2133,NaN,0,4.62,0.32,0,53314,1.4,1.53,1.26,0.79,2133,2133,0,80.8,25,13.9
2008,12,4,16:22:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,0,4265,NaN,NaN,NaN,NaN,2133,0,0,NaN,25,14.1
2008,12,8,16:12:00,35.17,-120.741,0,Cal Poly Pier,4265,0,1.46,3.54,3.48,3.61,200,0,NaN,0,5.31,0.41,4265,0,1.04,1.18,0.9,0.81,6398,0,0,55.8,25,13.9
2008,12,11,20:22:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,2133,4265,NaN,NaN,NaN,NaN,4265,0,0,NaN,25,13.6
2008,12,15,21:20:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.93,2.05,2.04,2.06,200,0,NaN,0,7.24,0.43,0,0,0.67,0.68,0.66,0.99,4265,0,0,73.17,25,13.2
2008,12,18,19:03:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,4265,4265,NaN,NaN,NaN,NaN,0,0,0,NaN,25,12.6
2008,12,22,20:57:00,35.17,-120.741,0,Cal Poly Pier,0,0,1.17,2.01,2.01,2.01,200,0,NaN,0,9.93,0.51,15994,3199,0.38,0.34,0.41,1.31,7464,0,0,68.56,25,12.3
2009,1,5,20:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,1.08,1.94,1.9,1.97,200,0,NaN,0,13.35,0.49,0,0,0.92,0.93,0.91,1.56,0,0,0,55.2,25,11.6
2009,1,8,18:50:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,2133,8530,NaN,NaN,NaN,NaN,0,0,0,NaN,25,11.5
2009,1,12,19:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,1.91,0.99,0.95,1.03,200,0,NaN,0,9.91,0.43,0,4265,0.49,0.54,0.45,1.19,0,0,0,87.54,25,11.6
2009,1,15,20:50:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,55446,11729,NaN,NaN,NaN,NaN,0,0,0,NaN,25,11.7
2009,1,19,19:47:00,35.17,-120.741,0,Cal Poly Pier,0,2133,2.84,1.83,1.88,1.78,200,0,0.01,0,5.52,0.24,76772,8530,1.29,1.33,1.26,0.91,1066,0,0,80.3,25,12.1
2009,1,22,20:35:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,3199,18127,NaN,NaN,NaN,NaN,1066,0,0,NaN,25,12.8
2009,1,26,20:40:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.32,0.53,0.56,0.51,200,0,NaN,0,4.37,0.29,14928,6398,0.59,0.59,0.58,0.8,1066,0,0,46.83,25,12.8
2009,1,29,18:05:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,1066,6398,NaN,NaN,NaN,NaN,0,0,0,NaN,25,12.4
2009,2,2,19:07:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.9,3.38,3.44,3.31,200,0,NaN,0,12.95,0.44,0,0,0.94,0.89,0.99,1.5,164207,0,0,63.67,25,12.4
2009,2,5,22:05:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,57579,15994,NaN,NaN,NaN,NaN,6398,0,0,NaN,25,12.5
2009,2,9,20:49:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.17,0.88,0.86,0.89,200,0,NaN,0,8,0.26,1066,2133,0.61,0.67,0.56,1.14,0,0,0,50.55,25,12.8
2009,2,12,19:03:00,35.17,-120.741,0,Cal Poly Pier,0,3199,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,1066,3199,NaN,NaN,NaN,NaN,0,0,0,NaN,25,12.5
2009,2,16,23:05:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.71,1.03,1.03,1.04,100,0,NaN,0,6.5,0.67,2133,2133,1.27,1.29,1.26,0.91,0,0,0,53.24,25,12.2
2009,2,19,23:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,1066,0,NaN,NaN,NaN,NaN,0,0,0,NaN,25,13
2009,2,23,20:07:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.78,2.02,2.06,1.97,200,0,NaN,0,10.49,0.46,9596,3199,0.96,0.96,0.97,1.14,9596,0,0,55.7,25,12.5
2009,2,26,18:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,22392,1066,NaN,NaN,NaN,NaN,0,0,0,NaN,25,12.5
2009,3,2,19:23:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.01,5.93,5.88,5.98,200,0,0.04,0,5.54,1.12,151411,0,1.1,1.08,1.13,0.06,0,0,0,0.21,25,12.8
2009,3,5,20:23:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,13862,1066,NaN,NaN,NaN,NaN,0,0,0,NaN,25,13
2009,3,9,21:45:00,35.17,-120.741,0,Cal Poly Pier,0,0,3.08,0.41,0.42,0.41,200,0,NaN,0,5.85,0.34,0,2133,0.17,0.16,0.18,1.06,0,0,0,71.74,25,12.6
2009,3,12,20:03:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,18127,3199,NaN,NaN,NaN,NaN,0,0,0,NaN,25,11.6
2009,3,16,20:57:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.01,15.48,16.04,14.93,200,0,0.04,0,3.51,0.38,475559,2133,3.73,3.51,3.94,0.73,0,0,0,59.65,25,11.1
2009,3,19,19:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,1462930,2133,NaN,NaN,NaN,NaN,0,0,0,NaN,25,11.3
2009,3,23,21:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.02,3.82,3.88,3.76,200,0,NaN,0,5.76,1.14,110893,4265,1.95,1.93,1.96,0.07,0,0,0,0.24,25,11
2009,3,26,18:37:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,400920,4265,NaN,NaN,NaN,NaN,0,0,0,NaN,25,10.7
2009,3,30,19:10:00,35.17,-120.741,0,Cal Poly Pier,0,2133,0.11,12.27,12.16,12.37,200,0,NaN,0,0.6,0.06,599247,0,7.6,7.35,7.85,0.23,0,0,0,56.41,25,11.7
2009,4,2,20:32:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,639766,2133,NaN,NaN,NaN,NaN,0,0,0,NaN,25,11.4
2009,4,6,19:15:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.35,14.15,13.37,14.94,150,0,0.08,0,0.57,0.12,1123860,0,6.4,6.72,6.08,0.39,0,0,0,40.57,25,11
2009,4,9,21:35:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,172737,10663,NaN,NaN,NaN,NaN,0,0,0,NaN,25,12.8
2009,4,13,19:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.37,1.2,1.18,1.21,250,0,0.21,0,11.56,0.34,53314,2133,0.82,0.83,0.82,1.54,0,0,0,44.66,25,12.7
2009,4,16,22:15:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,9596,4265,NaN,NaN,NaN,NaN,0,0,0,NaN,25,10.5
2009,4,20,18:28:00,35.17,-120.741,0,Cal Poly Pier,0,0,0.21,3.51,3.42,3.6,200,0,NaN,0,15.32,0.44,100230,19193,0.72,0.73,0.72,1.34,0,0,0,69.85,25,12.7
2009,4,23,21:25:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,520343,40519,NaN,NaN,NaN,NaN,0,0,0,NaN,25,13.2
2009,4,27,19:10:00,35.17,-120.741,0,Cal Poly Pier,0,0,2.84,5.58,5.16,6.01,200,0,0.09,0,15.19,0.55,371064,8530,3,2.9,3.09,1.65,0,0,0,57.4,25,10.7
2009,4,30,22:00:00,35.17,-120.741,0,Cal Poly Pier,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,NaN,138616,3199,NaN,NaN,NaN,NaN,0,0,5331,NaN,25,10.5
